Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Kamalapuram,130,KRISHNA CHAITANYA REDDY PUTHA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,POCHIMAREDDY RAVINDRANATH REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",25357,18/18,Result Declared
Kandukur,109,INTURI NAGESWARA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,MADHU SUDHANRAO BURRA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",18558,20/20,Result Declared
Kanigiri,113,DR. UGRA NARASIMHA REDDY MUKKU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,DADDALA NARAYANA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",14604,22/22,Result Declared
Kavali,114,DAGUMATI VENKATA KRISHNA REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,RAMIREDDY PRATAP KUMAR REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",30948,24/24,Result Declared
Kodumur (SC),143,BOGGULA DASTAGIRI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,AUDIMULAPU SATHISH,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",21583,20/20,Result Declared
Kodur (SC),127,ARAVA SREEDHAR,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,KORAMUTLA SREENIVASULU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",11101,18/18,Result Declared
Kondapi (SC),110,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,AUDIMULAPU SURESH,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",24756,21/21,Result Declared
Kothapeta,47,BANDARU SATYANANDA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,CHIRLA JAGGIREDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",56479,19/19,Result Declared
Kovur,116,PRASHANTHI REDDY VEMIREDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,NALLAPAREDDY PRASANNA KUMAR REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",54583,25/25,Result Declared
Kovvur,54,MUPPIDI VENKATESWARA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,TALARI VENKATA RAO,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",33946,13/13,Result Declared
Kuppam,175,CHANDRABABU NAIDU NARA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,K.R.J. BHARATH,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",48006,18/18,Result Declared
Kurnool,137,T.G.BHARATH,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,"A. MD. IMTIAZ I.A.S., (RETD)","Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",18876,19/19,Result Declared
Kurupam,11,JAGADEESWARI THOYAKA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,PAMULA PUSHPA SREEVANI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",23500,20/20,Result Declared
Macherla,101,JULAKANTI BRAHMANANDA REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,RAMAKRISHNAREDDY. PINNELLI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",33318,24/24,Result Declared
Machilipatnam,75,KOLLU. RAVINDRA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,PERNI KRISHNAMURTHY (KITTU),"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",50242,15/15,Result Declared
Madakasira (SC),156,M.S.RAJU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,IRALAKKAPPA.S.L,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",351,18/18,Result Declared
Madanapalle,164,M.SHAJAHAN BASHA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,S.NISAR AHAMAD,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",5509,19/19,Result Declared
