Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Ghasipura,21,BADRI NARAYAN PATRA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,SOUMYA RANJAN PATNAIK,"Independent
iParty Wise State TrendsLeading In:0Won In:3Trailing In:0",13811,22/22,Result Declared
Gopalpur,132,BIBHUTI BHUSHAN JENA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,BIKRAM KUMAR PANDA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",9062,16/16,Result Declared
Gunupur,138,SATYAJEET GOMANGO,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,RAGHUNATH GOMANGO,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",29885,21/21,Result Declared
Hindol,56,SIMARANI NAYAK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,MAHESH SAHOO,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",11827,27/27,Result Declared
Hinjili,131,NAVEEN PATNAIK,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,SISIR KUMAR MISHRA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",4636,18/18,Result Declared
Jagatsinghpur,104,AMARENDRA DAS,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,PRASANTA KUMAR MUDULI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",22138,22/22,Result Declared
Jajpur,52,SUJATA SAHU,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,GOUTAM RAY,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",2564,22/22,Result Declared
Jaleswar,35,ASWINI KUMAR PATRA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,BRAJAMOHAN PRADHAN,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",319,22/22,Result Declared
Jashipur,26,GANESH RAM SINGKHUNTIA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,CHAKRADHAR HEMBRAM,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",34667,21/21,Result Declared
Jatani,115,BIBHUTI BHUSAN BALABANTARAY,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,BISWARANJAN BADAJENA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",25221,19/19,Result Declared
Jayadev,111,NABA KISHOR MALLICK,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,ARABINDA DHALI,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",21473,20/20,Result Declared
Jeypore,143,TARA PRSADA BAHINIPATI,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,INDIRA NANDA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",13111,24/24,Result Declared
Jharigam,74,NARSING BHATRA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,RAMESH CHANDRA MAJHI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",3278,22/22,Result Declared
Jharsuguda,7,TANKADHAR TRIPATHY,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,DIPALI DAS,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",1333,19/19,Result Declared
Junagarh,78,DIBYA SHANKAR MISHRA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,MANOJ KUMAR MEHER,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",1338,24/24,Result Declared
